2015,2016,2017,2018
78.8,69.3,67.2,87
98.4,75.1,77.5,85
86.9,57.7,74.8,92
81.3,76,74,101
79.7,92.6,79.6,88
82.2,97,86.3,79.5
85.6,94.9,63.6,86
41.2,94.2,78.6,63.5
69.4,74.9,79.4,74
73.6,67.6,74.4,54.5
70.7,90.8,78.1,94
89.1,63.7,95.4,89.6
71.6,61.7,86.2,64
84.3,83.6,79.6,79.4
74.7,76.6,76.2,72
85.5,65.8,86,67
84.1,70.3,72.7,68.5
95.8,96.2,84.7,98.5
65.3,80.9,70.1,84
82.9,105.7,60.5,94
78.9,106.3,87.9,83
94.2,66.9,78.7,86.2
98.5,107.1,74,66.2
49.3,84.3,50,79.6
98.2,87.7,95.9,84.8
63.7,86,78.1,75.5
65.3,82.8,95.4,89
83.7,83.4,64.5,52
77.5,85.2,73.4,82.9
94.2,81.6,62.4,93
83,90.3,78,77.1
84.5,64.8,76.7,66.8
75.8,78.6,71.6,84.8
86.3,78.8,81.8,82
98.5,91.6,71.3,87.1
60.7,90.8,94,79.8
72.5,102,82.2,76.6
68.1,73.3,77.4,89.8
92.1,80.6,69,81
76.3,96.2,73,56.9
72.9,77.1,76.4,78.1
69.4,90,75.9,85.4
76.4,83.7,64.7,80.4
82.2,79.6,67.7,86.5
78,83.2,71.2,55
70.6,69.7,86.7,87.2
75,75.1,76.5,65.8
79.2,71.1,87.2,80.8
72.8,89.4,71.1,80.3
95.4,84.4,77.4,53.5
81,77.2,69.4,73.2
76.4,54.5,79.2,66.2
77.8,58,75.4,53.7
57.8,83.7,50.4,80.3
74.1,75.5,72.8,82.5
67.5,86.3,68.1,67.8
72.8,86.5,75.4,81.1
89.5,80.8,95.5,74.2
76.1,54.5,74,105.2
72.7,89.6,86.4,78.4
85.8,74.6,73.6,92.1
91.3,57.3,72.2,92.1
78.2,78.8,73.4,82.9
67.5,76.1,84.3,84.4
79.8,70.2,73.3,90.6
76.4,88.5,80,78.2
62.9,59.9,74.1,75.3
75.9,77.4,69.7,89.9
62.2,76.9,65,73.2
77.6,84.3,72.5,63.4
80.3,55.8,70.5,80
71.5,71.7,72.6,85.8
77.6,89.4,77.1,75.3
64.2,83.1,76.7,71.6
80.3,82.8,66.8,74
63.9,57.1,75.8,80.2
84.2,72.7,60.5,105
60,81.2,74.2,76
83.5,77.8,70.7,80
86.2,79.3,75,72.6
85.5,65,67.9,70.8
62.2,92.1,63.1,59.6
54.5,89.1,73.6,93.5
58.2,69.6,68.1,63.3
60.3,83.5,73.7,53.5
74.1,87.6,56.7,61.8
74.4,65.7,63.3,71.5
63.5,71.7,79,62
68.5,88.4,83.5,62.9
86.2,89.7,78.7,83.7
65.2,100.6,79.5,
84.5,77.1,66.2,
63.1,77.6,71.7,
81.3,80.4,78.2,
86.9,73.5,83.5,
92.9,68.5,71.7,
86.8,56.2,80.8,
80.1,51.6,69.6,
63.4,80.8,83.3,
73.6,89.6,73.5,
76.9,79.8,85.2,
62.3,94.4,80,
81.8,77,57.2,
78.5,64.1,76.5,
83.5,82,84.4,
75.7,91.2,80.1,
77.4,51.9,61.4,
72.2,81.4,91.4,
82.5,83.7,83,
64.7,79.8,77.9,
86.4,81.4,72.8,
74.9,59.8,73.6,
75.5,76.4,71.9,
72.9,52.5,73.6,
77.5,56.5,80.7,
64.7,92.7,64.8,
73.7,60.2,70.3,
76.2,60.3,71.5,
82.4,65.9,74,
79.7,,91.6,
68.5,,81.2,
86,,85.9,
79.2,,86.1,
78.7,,77.5,
95.3,,55.3,
78,,89.1,
73.4,,90.5,
96.1,,70.3,
98.4,,75.4,
47.9,,75.6,
79.3,,77.3,
64.1,,74.2,
65.5,,88.2,
75,,90,
73.6,,72.5,
80.5,,92.5,
68.5,,76.4,
72,,93.8,
47.1,,88.4,
49.9,,60.5,
57.6,,47.6,
91.3,,67.8,
74,,81.2,
67.1,,68.4,
60.8,,80.8,
79.5,,76.7,
63.6,,78.4,
63.5,,83.4,
60.2,,66.2,
83.2,,73.7,
74.5,,82.7,
74.5,,94.5,
60.8,,79.5,
66.9,,84.7,
69.7,,70.8,
75,,88.1,
67.6,,92,
60.1,,62.8,
53.7,,63,
85.5,,69.8,
77.9,,69.4,
77.2,,68.3,
83,,90.4,
69.1,,67.6,
87.3,,72.5,
71.1,,67.8,
71.5,,54.4,
70,,73.7,
73.8,,82.3,
75.3,,65.3,
38.7,,86.9,
70.9,,77.4,
73.5,,82.2,
75.2,,66.7,
74.3,,86.9,
63.7,,78.3,
61.5,,82.5,
82.3,,69.3,
53.4,,77.1,
80.1,,83.7,
72.9,,95.1,
51.5,,96.1,
80.4,,74.7,
78.9,,75.1,
52.2,,66.2,
76.7,,87.4,
73.3,,80.6,
74.6,,63.4,
83.5,,72.5,
53.3,,87.7,
80.1,,61.3,
62.9,,76.4,
83.1,,88.7,
78.3,,66.1,
59.5,,87.3,
72.4,,78.6,
74.6,,81.2,
68.5,,83,
82.5,,80,
81.8,,84.1,
79.3,,71.6,
85.6,,78.8,
83.1,,75.1,
70.5,,73,
81.3,,68.1,
73.4,,81.6,
75.5,,79.7,
65.8,,86.2,
71.1,,75.1,
78.2,,92.4,
71.7,,85.9,
82.9,,71,
78.5,,71.7,
79.7,,68.7,
63.7,,66.9,
62.1,,84.8,
80.6,,79.4,
65.5,,77.4,
75.6,,78.1,
53,,83,
81.8,,72.5,
86.4,,70.9,
79.7,,65.7,
63.8,,73.9,
73.6,,51.2,
58.5,,57.9,
76.8,,53.4,
78.3,,65.2,
69,,77.1,
80.7,,86.1,
73.8,,64,
68.6,,86.3,
67.7,,88.2,
72.3,,81.6,
78.8,,91.7,
68.1,,91.1,
85.7,,80.5,
56.8,,81,
50.4,,77.3,
71.8,,87.2,
69,,53.6,
67.7,,68.4,
70.2,,61.2,
56.5,,68.2,
83.7,,92.7,
91.7,,89.6,
72.5,,81.4,
69.8,,80,
52.3,,100.9,
71.8,,56.3,
79.1,,88.2,
76.2,,81.1,
64.4,,79.4,
66.5,,76.8,
58.5,,88.6,
