age,length
9,74.8
12,83.8
11,79.8
16,84
25,88
0.183561644,3.8
0.183561644,4.2
0.183561644,3.4
0.183561644,3.56
0.18630137,4.75
0.18630137,4.43
0.180821918,3.8
0.180821918,3.4
0.180821918,4
0.180821918,3.9
0.180821918,3.4
0.180821918,3.1
0.180821918,3
0.183561644,4.4
0.18630137,3.6
0.18630137,3.6
0.18630137,3.9
0.18630137,3.7
0.18630137,3.7
0.18630137,3.8
0.18630137,3.7
0.18630137,3.7
0.150684932,3.8
0.150684932,4
0.150684932,3.6
0.150684932,3.7
0.150684932,3.2
0.150684932,3.1
0.150684932,3.2
0.150684932,3.2
0.156164384,3.8
0.156164384,3.8
0.156164384,4
0.156164384,3.6
0.161643836,4.3
1.180821918,9.6
1.180821918,12.6
1.180821918,12.1
1.180821918,10.8
1.180821918,11.2
1.180821918,11.4
1.180821918,12.2
1.180821918,11.2
1.180821918,12.2
1.180821918,12.6
1.180821918,12.1
1.180821918,12
1.180821918,11
1.180821918,11.6
1.180821918,11.5
1.180821918,11.6
1.180821918,13
1.180821918,11.9
1.180821918,10.7
1.180821918,11.6
1.180821918,11.4
1.180821918,11.6
1.180821918,11.4
1.180821918,11.5
1.180821918,11
1.180821918,11.4
1.183561644,11.3
1.183561644,10.6
1.183561644,12.2
1.183561644,13.1
1.183561644,11.1
1.183561644,12.4
1.183561644,10.9
1.183561644,12.5
1.183561644,11.6
1.183561644,11.7
1.18630137,9.8
1.063013699,8.6
1.156164384,9.9
1.156164384,9.1
1.150684932,7.7
1.156164384,10
1.156164384,10.1
1.156164384,8.8
1.156164384,10.6
1.156164384,8.1
1.161643836,9.7
1.161643836,9.5
1.161643836,7.6
1.161643836,9.5
1.161643836,9.6
1.164383562,11.1
1.164383562,11
1.164383562,10.3
1.164383562,10.5
2.060273973,13.5
2.060273973,12.7
2.164383562,13
2.150684932,13.3
2.156164384,14.9
2.161643836,14.2
2.164383562,16.3
