river,year,MK,LInf,SL50,SL95,FM,SPR,SL50.Var,SL95.Var,FM.Var,SPR.Var
delger,2015,1.7076825616003077,156.60440874415906,65.67,89.67,3.96,0.125272816786767,64.82898039550184,154.24847285097167,3.077410238169219,0.002426860046519626
delger,2016,1.7076825616003077,156.60440874415906,56.58,67.63,1.93,0.18561942806222018,2.62856101285628,8.745146621610234,0.11786144697751948,9.017737480477162e-4
delger,2017,1.7076825616003077,156.60440874415906,60.04,65.55,5.03,0.09497401811071447,0.6846006864101061,2.134342493843792,0.6238051413785122,9.799842384794758e-5
delger,2018,1.7076825616003077,156.60440874415906,59.65,69.25,2.54,0.158323409126046,3.2046962082561605,10.552310057664512,0.24013837743330813,6.369150476321164e-4
delger,2022,1.7076825616003077,156.60440874415906,70.63,86.92,3.25,0.18495783180862485,6.201494326858068,16.244569289739932,0.42143509104588484,5.827930028280599e-4
delger,2015,1.8109830161635196,144.18002512612836,65.03,88.32,2.9,0.18787239262931532,56.14347185158806,134.18029806051283,1.6279058312583041,0.0042304601557904805
delger,2016,1.8109830161635196,144.18002512612836,56.43,67.34,1.35,0.27932244226397973,2.6580876053191598,8.573613124981513,0.07808378482231719,0.0020141299609716798
delger,2017,1.8109830161635196,144.18002512612836,60.04,65.53,3.94,0.14019367713638314,0.6945419747421089,2.1427089864766913,0.42435917301815396,2.1071503385618106e-4
delger,2018,1.8109830161635196,144.18002512612836,59.51,68.94,1.85,0.23570704610516227,3.256737855153728,10.540367951948735,0.15781206278567153,0.0013913606714580844
delger,2022,1.8109830161635196,144.18002512612836,70.44,86.44,2.38,0.2697289413921003,6.315955822939866,16.212535028416948,0.26704754154094285,0.001146804080081733
delger,2015,1.8218550640983846,131.26944483798712,64.32,86.97,2.12,0.252492452226653,48.30552929392938,116.21991433566798,0.882428975888228,0.005920258236143249
delger,2016,1.8218550640983846,131.26944483798712,56.25,67.03,0.93,0.37691998412040156,2.699098787612761,8.464336546612795,0.05288313421481549,0.0036565491323965853
delger,2017,1.8218550640983846,131.26944483798712,60.03,65.49,3.12,0.18490761459443708,0.7087587363437753,2.16020367621966,0.3061962216711904,3.6753328367995953e-4
delger,2018,1.8218550640983846,131.26944483798712,59.31,68.56,1.34,0.31527015786103457,3.3058370727501045,10.549536100456004,0.10598387189096893,0.002479962464667824
delger,2022,1.8218550640983846,131.26944483798712,70.19,85.89,1.71,0.35279819380893146,6.458879710745867,16.298038120495058,0.17164614581983137,0.0018247343817018146
delger,2015,1.7996246627521983,140.49543482761288,64.85,88,2.7,0.20076029097595097,54.192523701917366,129.89508538888404,1.410416081124247,0.004548401212821638
delger,2016,1.7996246627521983,140.49543482761288,56.38,67.26,1.25,0.29876656294241916,2.666611194992312,8.549976550966694,0.07138921139753542,0.0023031443627054287
delger,2017,1.7996246627521983,140.49543482761288,60.03,65.52,3.74,0.14914213899741838,0.6976683097346541,2.1469222681665974,0.3937608892467024,2.3862472291285978e-4
delger,2018,1.7996246627521983,140.49543482761288,59.46,68.85,1.73,0.25155270243872896,3.267671701411258,10.547751568345799,0.1440443302728359,0.0015830067090907632
delger,2022,1.7996246627521983,140.49543482761288,70.38,86.32,2.21,0.28665935683632504,6.354161248207302,16.258181212077076,0.24125352093392832,0.0012752161930554974
delger,2015,2.27352701446322,132.97335692234367,64.21,85.97,1.57,0.32924223365263017,42.874350969118076,100.2987808475344,0.5339196389867034,0.008152173709052595
delger,2016,2.27352701446322,132.97335692234367,56.43,67.09,0.62,0.49149524048679244,2.7128090384214505,8.262617201132194,0.03678103997897947,0.006113070703926917
delger,2017,2.27352701446322,132.97335692234367,60.06,65.49,2.44,0.2399496933734741,0.7135486757970223,2.1453610160518277,0.2109282269540524,5.899818871065889e-4
delger,2018,2.27352701446322,132.97335692234367,59.44,68.59,0.96,0.4061952633235762,3.3477765416723764,10.36406925221586,0.07382431472901987,0.003991534230887832
delger,2022,2.27352701446322,132.97335692234367,70.34,85.71,1.29,0.4389732596446892,6.396669978674683,15.572175575702182,0.11862538714148212,0.0025124608997646337
delger,2015,1.459562128469581,130.01112774091902,64.45,87.93,2.82,0.19154161445830184,54.00650412905447,132.98957284934082,1.4743053041336698,0.004162223286645058
delger,2016,1.459562128469581,130.01112774091902,56.1,66.98,1.32,0.28598158298756593,2.686597324810179,8.645634388996926,0.07729920266577896,0.0021394831784868687
delger,2017,1.459562128469581,130.01112774091902,60,65.5,3.97,0.14121695373936916,0.7049006494788731,2.1735088760255596,0.4506276442445727,2.233019353062513e-4
delger,2018,1.459562128469581,130.01112774091902,59.22,68.54,1.81,0.24151177403558038,3.2730500600047323,10.724267297718939,0.15500184629694716,0.001491869885385919
delger,2022,1.459562128469581,130.01112774091902,70.07,86.1,2.25,0.27934191009358955,6.529613727609723,17.00551703925211,0.2531639817443436,0.0012721630399049149
delger,2015,1.9236287412030564,144.85397696900282,65.01,88.09,2.71,0.19674586924258605,54.64891096588931,129.86655712041522,1.4292816757540487,0.004409694826540869
delger,2016,1.9236287412030564,144.85397696900282,56.49,67.38,1.25,0.2922041932708908,2.659488391744896,8.539280555622664,0.07049156404988288,0.0021956990819062073
delger,2017,1.9236287412030564,144.85397696900282,60.05,65.53,3.7,0.14666639167242,0.6954578137293278,2.138902104798271,0.3841146343775573,2.2819499822613007e-4
delger,2018,1.9236287412030564,144.85397696900282,59.55,68.97,1.73,0.2460859210064803,3.2617249504548647,10.489971707287232,0.14276784769509987,0.0015044867120106043
delger,2022,1.9236287412030564,144.85397696900282,70.5,86.44,2.23,0.2794805485903555,6.285763719384468,16.014892657527312,0.24138216535302817,0.0011947420395901271
delger,2015,1.7269793985385864,143.83622724189135,65.05,88.5,3.07,0.1771172244001699,57.37565456040824,137.73929043187334,1.8143111552868538,0.003918211933698084
delger,2016,1.7269793985385864,143.83622724189135,56.4,67.33,1.45,0.26335980764937944,2.655665973662534,8.613285850545555,0.0847197111890355,0.0017967017049702644
delger,2017,1.7269793985385864,143.83622724189135,60.03,65.53,4.14,0.1323162417046526,0.6937184075577522,2.145124596248218,0.4610180065220774,1.8916283641818188e-4
delger,2018,1.7269793985385864,143.83622724189135,59.49,68.94,1.97,0.22268990318821455,3.249068146402996,10.571342857778838,0.17115040797861752,0.0012489603170022078
delger,2022,1.7269793985385864,143.83622724189135,70.42,86.49,2.51,0.25638191594865856,6.332397954425568,16.35660349158415,0.2904279222944306,0.0010590631704024006
delger,2015,1.7919476257846427,165.34975550004108,65.95,90.06,4.27,0.10946082662520754,67.5703293187915,159.43631662369842,3.6533015854453565,0.0019917604683425795
delger,2016,1.7919476257846427,165.34975550004108,56.69,67.79,2.09,0.16198697905327025,2.622591520314331,8.787519031663383,0.12990030937746974,6.903120045029126e-4
