length,age
51,5
59,7
61.5,7
62,10
62,10
65,15
65,9
66,9
67,10
68,8
70,10
70,13
70,11
70,16
71,14
71,15
71,13
71,11
72,13
72,16
72,9
74,10
74,8
74,14
74,15
76,9
76,14
77,10
77,15
78,10
78,15
78,13
80,13
81,14
82,10
82,9
83,11
83,13
83,12
84,11
84,18
84,13
84.5,13
85,8
85,12
85,13
85,7
85,8
85,9
86.5,11
87,14
89,16
90,11
90,17
90,8
90,9
90,15
90.5,12
91,12
92,15
93,14
93,10
93,10
93,11
94,15
95,13
95,10
95,10
96,9
96,13
98,19
98,16
99,17
100,13
100,15
100,15
103,12
104,15
105,19
107,12
108,11
110,15
110,11
111,11
112,14
112,15
113,12
114,14
115,13
116,17
120,15
122,20
124,16
126,16
128,14
129,17
135,21
135,24
140,20
140,20
